wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m
1787750614.306,194.6,9.9,3.38,1.7,23.76,1.0,0.00,1.0,0.00,5.2,17.70,3.680,10.0,17.21,1.3,13.27,1.0,0.00,1.0,0.00,5.2,18.94,16.723
1787750616.381,196.7,10.0,3.06,2.1,121.51,1.0,0.00,0.8,0.00,4.8,22.41,2.991,10.0,11.31,1.3,48.51,1.0,0.00,0.8,0.00,4.8,23.09,16.264
1787750618.358,198.7,10.0,4.94,1.9,93.63,1.0,0.00,0.8,0.00,5.0,21.14,2.230,10.0,9.89,1.2,0.00,1.0,0.00,0.8,0.00,5.0,20.87,15.726
1787750620.353,200.7,10.0,14.88,1.7,36.00,1.0,0.00,0.8,0.00,5.0,19.47,1.344,10.0,11.54,1.2,12.03,1.0,0.00,0.8,0.00,5.0,19.83,15.306
1787750622.464,202.8,10.0,7.98,1.6,40.05,1.0,0.00,0.5,0.00,4.8,25.69,0.686,10.1,11.91,1.6,26.00,1.0,0.00,1.0,0.00,4.8,26.77,14.673
1787750624.533,204.8,10.0,2.03,1.0,0.00,1.0,0.00,0.8,0.00,4.8,20.92,0.333,10.1,9.06,2.4,12.62,1.0,0.00,0.5,0.00,4.8,20.52,13.938
1787750626.561,206.9,10.0,8.04,0.5,0.00,1.0,0.00,0.8,0.00,4.9,18.30,0.191,10.0,5.81,1.6,29.29,1.0,0.00,0.8,0.00,4.9,18.39,13.210
1787750628.720,209.0,10.0,2.19,0.5,0.00,1.0,0.00,0.8,0.00,4.9,26.88,0.150,10.0,9.50,1.6,23.89,1.0,0.00,0.8,0.00,4.9,26.53,12.504
1787750630.786,211.1,10.0,2.37,1.0,0.00,1.0,0.00,0.5,0.00,4.8,18.54,0.100,10.0,11.15,1.6,35.92,1.0,0.00,0.8,0.00,4.8,17.46,11.776
1787750632.878,213.2,10.0,7.27,4.9,22.88,1.0,0.00,0.8,0.00,4.8,22.60,0.071,10.1,12.18,1.4,90.38,1.0,0.00,0.5,0.00,4.8,23.36,11.048
1787750634.893,215.2,10.0,1.96,2.5,14.87,1.0,0.00,0.8,0.00,5.0,18.23,0.000,10.1,7.99,1.4,122.14,1.0,0.00,1.0,0.00,5.0,17.83,10.433
1787750636.995,217.3,10.1,31.05,1.3,107.08,1.5,0.00,0.5,0.00,4.7,21.34,27.664,10.0,7.11,1.5,22.70,1.0,0.00,0.8,0.00,4.7,21.55,9.873
1787750639.065,219.4,10.0,1.90,2.3,27.80,1.0,0.00,0.8,0.00,4.9,18.54,27.499,10.1,8.82,1.6,29.72,1.0,0.00,0.8,0.00,4.9,19.44,9.274
1787750641.122,221.4,10.0,1.77,1.7,36.90,1.0,0.00,1.0,0.00,5.0,14.06,26.872,10.0,7.14,1.7,10.15,1.0,0.00,1.0,0.00,5.1,13.75,8.644
1787750643.230,223.5,10.0,3.39,1.6,26.75,0.9,0.00,0.8,0.00,4.8,22.55,26.175,10.0,7.45,1.5,0.74,1.0,0.00,0.5,0.00,4.8,22.54,7.974
1787750645.413,225.7,10.0,2.77,1.1,0.00,0.9,0.00,0.8,0.00,4.6,29.26,25.556,9.9,8.70,1.5,25.02,0.5,0.00,0.5,0.00,4.7,29.40,7.324
1787750647.503,227.8,10.0,1.15,1.6,36.00,0.9,0.00,0.5,0.00,4.8,23.44,25.091,10.0,5.87,1.6,37.08,1.0,0.00,0.8,0.00,4.8,23.60,6.494
1787750649.580,229.9,10.0,5.43,1.6,27.08,1.0,0.00,0.5,0.00,4.8,25.12,24.510,10.0,3.34,1.6,28.85,1.0,0.00,0.8,0.00,4.8,24.73,5.778
1787750651.724,232.0,10.0,1.78,1.5,20.86,0.9,0.00,0.8,0.00,4.7,23.65,23.851,10.0,4.70,2.3,5.96,1.0,0.00,0.5,0.00,4.7,24.79,5.113
1787750653.904,234.2,10.0,1.58,1.5,38.78,0.9,0.00,0.8,0.00,4.6,24.67,23.120,10.0,3.13,1.5,39.03,1.0,0.00,0.5,0.00,4.6,23.14,4.439
1787750656.002,236.3,10.1,2.51,1.5,10.02,1.0,0.00,0.8,0.00,4.7,20.63,22.445,10.0,3.13,1.5,11.33,1.0,0.00,0.8,0.00,4.7,23.73,3.859
1787750658.095,238.4,10.1,2.89,1.7,4.52,1.0,0.00,0.5,0.00,4.9,18.83,21.865,10.0,3.94,1.2,11.23,1.0,0.00,1.0,0.00,4.9,19.66,3.261
1787750660.363,240.7,10.0,3.13,1.1,0.00,0.9,0.00,0.5,0.00,4.4,26.28,21.154,10.0,1.34,1.5,33.54,1.0,0.00,0.8,0.00,4.4,26.56,2.517
1787750662.538,242.8,10.0,12.16,1.2,0.00,1.0,0.00,0.8,0.00,4.4,21.96,20.667,10.0,6.94,1.5,1.90,1.0,0.00,0.8,0.00,4.4,21.37,1.735
1787750664.632,244.9,10.0,1.61,1.6,21.79,1.0,0.00,0.8,0.00,4.7,12.97,20.118,10.0,6.36,1.6,27.24,1.0,0.00,0.5,0.00,4.7,11.20,0.947
1787750666.858,247.2,10.0,2.20,1.5,6.88,1.0,0.00,0.8,0.00,4.4,36.86,19.564,10.1,15.19,1.2,0.00,1.0,0.00,0.5,0.00,4.4,36.44,0.312
