# started on Wed Sep  2 15:48:04 2026

#           time             counts   unit events
   121.152760390               7.05 Joules power/energy-pkg/                                                     
   121.152760390               2.97 Joules power/energy-cores/                                                   
   121.152760390               0.68 Joules power/energy-psys/                                                    
   122.154190573               7.75 Joules power/energy-pkg/                                                     
   122.154190573               3.49 Joules power/energy-cores/                                                   
   122.154190573               0.68 Joules power/energy-psys/                                                    
   123.155300537               7.59 Joules power/energy-pkg/                                                     
   123.155300537               3.35 Joules power/energy-cores/                                                   
   123.155300537               0.68 Joules power/energy-psys/                                                    
   124.156255466               6.92 Joules power/energy-pkg/                                                     
   124.156255466               2.92 Joules power/energy-cores/                                                   
   124.156255466               0.68 Joules power/energy-psys/                                                    
   125.157967080               8.08 Joules power/energy-pkg/                                                     
   125.157967080               3.72 Joules power/energy-cores/                                                   
   125.157967080               0.68 Joules power/energy-psys/                                                    
   126.159332371               7.38 Joules power/energy-pkg/                                                     
   126.159332371               3.26 Joules power/energy-cores/                                                   
   126.159332371               0.68 Joules power/energy-psys/                                                    
   127.160255511               7.28 Joules power/energy-pkg/                                                     
   127.160255511               3.23 Joules power/energy-cores/                                                   
   127.160255511               0.67 Joules power/energy-psys/                                                    
   128.161652948               7.99 Joules power/energy-pkg/                                                     
   128.161652948               3.67 Joules power/energy-cores/                                                   
   128.161652948               0.68 Joules power/energy-psys/                                                    
   129.163219947               7.28 Joules power/energy-pkg/                                                     
   129.163219947               3.16 Joules power/energy-cores/                                                   
   129.163219947               0.68 Joules power/energy-psys/                                                    
   130.164573175               7.57 Joules power/energy-pkg/                                                     
   130.164573175               3.43 Joules power/energy-cores/                                                   
   130.164573175               0.68 Joules power/energy-psys/                                                    
#           time             counts   unit events
   131.165269197               7.32 Joules power/energy-pkg/                                                     
   131.165269197               3.22 Joules power/energy-cores/                                                   
   131.165269197               0.68 Joules power/energy-psys/                                                    
   132.166361436               7.04 Joules power/energy-pkg/                                                     
   132.166361436               3.01 Joules power/energy-cores/                                                   
   132.166361436               0.68 Joules power/energy-psys/                                                    
   133.167288907               7.52 Joules power/energy-pkg/                                                     
   133.167288907               3.34 Joules power/energy-cores/                                                   
   133.167288907               0.68 Joules power/energy-psys/                                                    
   134.168646420               7.46 Joules power/energy-pkg/                                                     
   134.168646420               3.33 Joules power/energy-cores/                                                   
   134.168646420               0.68 Joules power/energy-psys/                                                    
   135.169992554               6.90 Joules power/energy-pkg/                                                     
   135.169992554               2.88 Joules power/energy-cores/                                                   
   135.169992554               0.68 Joules power/energy-psys/                                                    
   136.171447400               7.48 Joules power/energy-pkg/                                                     
   136.171447400               3.32 Joules power/energy-cores/                                                   
   136.171447400               0.68 Joules power/energy-psys/                                                    
   137.172746516               7.12 Joules power/energy-pkg/                                                     
   137.172746516               3.07 Joules power/energy-cores/                                                   
   137.172746516               0.68 Joules power/energy-psys/                                                    
   138.174077480               7.41 Joules power/energy-pkg/                                                     
   138.174077480               3.30 Joules power/energy-cores/                                                   
   138.174077480               0.68 Joules power/energy-psys/                                                    
   139.175307576               7.68 Joules power/energy-pkg/                                                     
   139.175307576               3.44 Joules power/energy-cores/                                                   
   139.175307576               0.68 Joules power/energy-psys/                                                    
   140.176256288               7.47 Joules power/energy-pkg/                                                     
   140.176256288               3.13 Joules power/energy-cores/                                                   
