wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m
1787749877.356,157.5,10.0,0.30,2.6,14.08,1.0,0.00,1.2,0.00,7.9,7.20,4.492
1787749878.633,158.7,10.0,0.28,2.6,6.71,1.0,0.00,1.3,0.99,7.9,4.94,3.957
1787749879.934,160.0,10.0,0.24,2.6,12.72,0.5,0.00,1.2,0.00,7.8,7.73,3.495
1787749881.289,161.4,10.0,1.60,3.2,64.19,1.0,0.00,1.2,0.00,7.5,13.90,2.301
1787749882.548,162.7,10.0,0.95,2.6,14.74,1.0,0.00,1.2,0.17,7.8,9.63,1.664
1787749883.846,164.0,10.0,0.36,2.6,14.58,1.0,0.00,1.3,0.00,7.8,6.50,1.028
1787749885.159,165.3,10.0,0.68,2.1,81.47,1.0,0.00,1.3,0.10,7.6,12.05,0.283
1787749886.528,166.6,10.0,0.93,0.9,0.00,1.0,0.00,1.2,0.04,7.4,14.58,0.191
1787749887.799,167.9,10.0,0.38,1.7,320.76,1.0,0.00,1.3,0.00,7.6,13.35,0.100
1787749889.085,169.2,10.0,0.48,6.0,56.37,1.0,0.00,1.2,0.70,7.8,3.72,0.100
1787749890.397,170.5,10.0,0.33,4.9,65.68,1.0,0.00,1.2,0.21,7.6,9.20,0.000
1787749891.746,171.9,10.6,21.57,2.9,117.24,1.2,0.00,1.2,0.00,7.6,8.19,27.640
1787749893.024,173.1,10.0,0.19,3.8,15.53,1.0,0.00,1.3,2.37,7.6,8.81,27.640
1787749894.293,174.4,10.0,0.30,2.4,105.31,1.0,0.00,1.2,0.00,7.9,1.68,26.752
1787749895.660,175.8,10.0,0.32,2.3,45.18,1.0,0.00,1.2,0.00,7.4,14.90,26.219
1787749896.989,177.1,10.0,0.35,2.2,75.50,1.0,0.00,1.3,0.87,7.6,12.17,25.693
1787749898.287,178.4,10.0,0.40,2.7,112.69,0.5,0.00,1.2,0.00,7.6,13.59,25.279
1787749899.557,179.7,10.0,0.34,2.6,1.52,1.0,0.00,1.3,0.74,7.9,1.11,24.325
1787749900.917,181.0,10.0,0.34,2.5,19.09,1.0,0.00,1.3,0.34,7.5,11.89,23.767
1787749902.253,182.4,10.0,0.43,2.5,13.46,1.0,0.00,1.3,0.00,7.6,9.10,23.256
1787749903.576,183.7,10.0,0.32,2.5,23.00,0.5,0.00,1.2,0.22,7.5,14.11,22.822
1787749904.862,185.0,10.0,0.40,2.6,2.40,1.0,0.00,1.2,1.48,7.8,2.56,21.847
