wall_time,sim_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/cmd_vel_nav_sim_hz,panther/cmd_vel_nav_sim_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/amcl_pose_sim_hz,panther/amcl_pose_sim_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/plan_sim_hz,panther/plan_sim_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/local_costmap_sim_hz,panther/local_costmap_sim_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/velodyne_filtered_sim_hz,panther/velodyne_filtered_sim_jitter_ms,panther/path_length_m
1788342476.671,396.000,340.5,10.00,1.15,14.68,13.51,1.71,13.02,2.50,0.00,0.96,0.00,1.39,4.00,1.25,0.87,1.84,15.43,3.41,3.71,5.00,0.00,21.573
1788342478.132,397.000,342.0,10.00,1.05,14.77,13.69,1.71,6.22,2.50,0.00,0.94,0.00,1.40,0.00,1.25,0.31,1.83,8.22,3.39,5.34,5.00,0.00,21.043
1788342479.617,398.000,343.5,9.99,0.96,14.83,15.75,1.68,5.37,2.50,0.00,0.94,0.00,1.39,10.00,1.25,1.07,1.83,8.22,3.38,7.52,5.00,0.00,20.218
1788342481.079,399.000,344.9,10.00,1.04,14.74,15.88,1.71,3.72,2.50,0.00,0.95,0.00,1.40,2.00,1.25,0.81,1.83,17.99,3.43,1.27,5.00,0.00,19.803
1788342482.570,400.000,346.4,10.00,1.77,14.68,13.35,1.68,3.70,2.50,0.00,0.94,0.00,1.40,0.00,1.25,0.49,1.84,18.18,3.36,6.27,5.00,0.00,19.283
1788342484.047,401.000,347.9,10.00,1.73,14.98,13.29,1.69,3.14,2.50,0.00,0.95,0.00,1.39,16.00,1.25,0.27,1.86,17.99,3.41,3.81,5.00,0.00,18.131
1788342485.555,402.000,349.4,10.00,1.83,14.74,17.12,1.66,15.29,2.50,0.00,0.96,0.00,1.42,34.00,1.25,0.01,1.87,18.57,3.32,18.63,5.00,0.00,17.740
1788342487.029,403.000,350.9,9.98,0.75,15.07,16.29,1.72,6.14,2.50,0.00,0.94,0.00,1.39,6.00,1.25,0.38,1.86,12.36,3.39,3.75,5.00,0.00,16.826
1788342488.505,404.000,352.4,10.00,0.44,14.83,14.12,1.69,15.16,2.50,0.00,0.94,0.00,1.40,0.00,1.25,0.26,1.87,13.20,3.37,3.60,5.00,0.00,16.527
1788342489.998,405.000,353.8,10.00,0.94,14.80,15.34,1.70,8.63,2.50,0.00,0.95,0.00,1.41,8.00,1.25,6.46,1.86,21.00,3.38,4.70,5.00,0.00,16.236
1788342491.495,406.000,355.3,9.98,2.68,14.83,17.82,1.66,28.57,2.50,0.00,0.98,0.00,1.43,0.00,1.25,2.57,1.88,26.40,3.31,21.08,5.00,0.00,15.401
1788342492.985,407.000,356.8,10.04,4.37,14.77,15.96,1.68,8.46,2.50,0.00,0.97,0.00,1.43,0.00,1.26,0.70,1.85,18.86,3.36,4.49,5.00,0.00,14.980
1788342494.460,408.000,358.3,10.01,1.43,14.68,13.22,1.70,2.59,2.50,0.00,0.97,0.00,1.43,16.00,1.25,0.05,1.87,18.57,3.39,2.33,5.00,0.00,13.947
