# started on Wed Sep  2 11:42:13 2026

#           time             counts   unit events
   118.162123150               1.14 Joules power/energy-cores/                                                   
   118.162123150               0.68 Joules power/energy-psys/                                                    
   119.163550206               5.30 Joules power/energy-pkg/                                                     
   119.163550206               1.27 Joules power/energy-cores/                                                   
   119.163550206               0.68 Joules power/energy-psys/                                                    
   120.165143993               5.25 Joules power/energy-pkg/                                                     
   120.165143993               1.31 Joules power/energy-cores/                                                   
   120.165143993               0.68 Joules power/energy-psys/                                                    
   121.166631550               5.12 Joules power/energy-pkg/                                                     
   121.166631550               1.25 Joules power/energy-cores/                                                   
   121.166631550               0.68 Joules power/energy-psys/                                                    
   122.167963504               5.13 Joules power/energy-pkg/                                                     
   122.167963504               1.28 Joules power/energy-cores/                                                   
   122.167963504               0.68 Joules power/energy-psys/                                                    
   123.169445191               4.72 Joules power/energy-pkg/                                                     
   123.169445191               1.24 Joules power/energy-cores/                                                   
   123.169445191               0.68 Joules power/energy-psys/                                                    
   124.171001857               5.17 Joules power/energy-pkg/                                                     
   124.171001857               1.33 Joules power/energy-cores/                                                   
   124.171001857               0.68 Joules power/energy-psys/                                                    
   125.172386811               4.93 Joules power/energy-pkg/                                                     
   125.172386811               1.26 Joules power/energy-cores/                                                   
   125.172386811               0.68 Joules power/energy-psys/                                                    
   126.173856199               5.25 Joules power/energy-pkg/                                                     
   126.173856199               1.31 Joules power/energy-cores/                                                   
   126.173856199               0.68 Joules power/energy-psys/                                                    
   127.175287489               5.02 Joules power/energy-pkg/                                                     
   127.175287489               1.27 Joules power/energy-cores/                                                   
   127.175287489               0.68 Joules power/energy-psys/                                                    
   128.176898520               4.76 Joules power/energy-pkg/                                                     
   128.176898520               1.25 Joules power/energy-cores/                                                   
   128.176898520               0.68 Joules power/energy-psys/                                                    
   129.178433813               4.97 Joules power/energy-pkg/                                                     
   129.178433813               1.17 Joules power/energy-cores/                                                   
   129.178433813               0.68 Joules power/energy-psys/                                                    
   130.179934805               5.22 Joules power/energy-pkg/                                                     
   130.179934805               1.35 Joules power/energy-cores/                                                   
   130.179934805               0.68 Joules power/energy-psys/                                                    
#           time             counts   unit events
   131.181500616               5.28 Joules power/energy-pkg/                                                     
   131.181500616               1.28 Joules power/energy-cores/                                                   
   131.181500616               0.68 Joules power/energy-psys/                                                    
   132.182819991               5.31 Joules power/energy-pkg/                                                     
   132.182819991               1.32 Joules power/energy-cores/                                                   
   132.182819991               0.68 Joules power/energy-psys/                                                    
   133.184412202               4.54 Joules power/energy-pkg/                                                     
   133.184412202               1.16 Joules power/energy-cores/                                                   
   133.184412202               0.68 Joules power/energy-psys/                                                    
   134.185907937               4.93 Joules power/energy-pkg/                                                     
   134.185907937               1.15 Joules power/energy-cores/                                                   
   134.185907937               0.68 Joules power/energy-psys/                                                    
   135.186800678               4.99 Joules power/energy-pkg/                                                     
   135.186800678               1.17 Joules power/energy-cores/                                                   
   135.186800678               0.68 Joules power/energy-psys/                                                    
   136.188263106               5.06 Joules power/energy-pkg/                                                     
   136.188263106               1.23 Joules power/energy-cores/                                                   
   136.188263106               0.68 Joules power/energy-psys/                                                    
   137.188863655               4.94 Joules power/energy-pkg/                                                     
   137.188863655               1.13 Joules power/energy-cores/                                                   
   137.188863655               0.68 Joules power/energy-psys/                                                    
   138.190291395               4.64 Joules power/energy-pkg/                                                     
   138.190291395               1.18 Joules power/energy-cores/                                                   
   138.190291395               0.68 Joules power/energy-psys/                                                    
   139.191869713               4.83 Joules power/energy-pkg/                                                     
   139.191869713               1.13 Joules power/energy-cores/                                                   
   139.191869713               0.68 Joules power/energy-psys/                                                    
   140.192834922               4.90 Joules power/energy-pkg/                                                     
   140.192834922               1.17 Joules power/energy-cores/                                                   
   140.192834922               0.68 Joules power/energy-psys/                                                    
   141.193824034               4.88 Joules power/energy-pkg/                                                     
   141.193824034               1.20 Joules power/energy-cores/                                                   
   141.193824034               0.68 Joules power/energy-psys/                                                    
   142.195254440               5.09 Joules power/energy-pkg/                                                     
   142.195254440               1.23 Joules power/energy-cores/                                                   
   142.195254440               0.68 Joules power/energy-psys/                                                    
   143.196847204               4.59 Joules power/energy-pkg/                                                     
   143.196847204               1.07 Joules power/energy-cores/                                                   
   143.196847204               0.68 Joules power/energy-psys/                                                    
   144.198381768               5.01 Joules power/energy-pkg/                                                     
   144.198381768               1.21 Joules power/energy-cores/                                                   
   144.198381768               0.68 Joules power/energy-psys/                                                    
   145.199664462               4.91 Joules power/energy-pkg/                                                     
   145.199664462               1.10 Joules power/energy-cores/                                                   
   145.199664462               0.68 Joules power/energy-psys/                                                    
   146.201024277               5.10 Joules power/energy-pkg/                                                     
   146.201024277               1.22 Joules power/energy-cores/                                                   
   146.201024277               0.68 Joules power/energy-psys/                                                    
   147.202454052               4.84 Joules power/energy-pkg/                                                     
   147.202454052               1.22 Joules power/energy-cores/                                                   
   147.202454052               0.68 Joules power/energy-psys/                                                    
   148.203833191               4.61 Joules power/energy-pkg/                                                     
   148.203833191               1.19 Joules power/energy-cores/                                                   
   148.203833191               0.68 Joules power/energy-psys/                                                    
   149.205331912               4.76 Joules power/energy-pkg/                                                     
   149.205331912               1.17 Joules power/energy-cores/                                                   
   149.205331912               0.68 Joules power/energy-psys/                                                    
   150.205814877               4.98 Joules power/energy-pkg/                                                     
   150.205814877               1.24 Joules power/energy-cores/                                                   
   150.205814877               0.68 Joules power/energy-psys/                                                    
   151.210182088               5.06 Joules power/energy-pkg/                                                     
   151.210182088               1.31 Joules power/energy-cores/                                                   
   151.210182088               0.68 Joules power/energy-psys/                                                    
   152.211578978               5.22 Joules power/energy-pkg/                                                     
   152.211578978               1.33 Joules power/energy-cores/                                                   
   152.211578978               0.68 Joules power/energy-psys/                                                    
   153.213069989               4.82 Joules power/energy-pkg/                                                     
   153.213069989               1.25 Joules power/energy-cores/                                                   
   153.213069989               0.68 Joules power/energy-psys/                                                    
   154.214564698               5.18 Joules power/energy-pkg/                                                     
   154.214564698               1.35 Joules power/energy-cores/                                                   
   154.214564698               0.68 Joules power/energy-psys/                                                    
   155.215913449               4.98 Joules power/energy-pkg/                                                     
   155.215913449               1.26 Joules power/energy-cores/                                                   
   155.215913449               0.68 Joules power/energy-psys/                                                    
   156.217154063               4.83 Joules power/energy-pkg/                                                     
   156.217154063               1.22 Joules power/energy-cores/                                                   
   156.217154063               0.68 Joules power/energy-psys/                                                    
#           time             counts   unit events
   157.218503291               4.84 Joules power/energy-pkg/                                                     
   157.218503291               1.23 Joules power/energy-cores/                                                   
   157.218503291               0.68 Joules power/energy-psys/                                                    
   158.219794174               4.95 Joules power/energy-pkg/                                                     
   158.219794174               1.29 Joules power/energy-cores/                                                   
   158.219794174               0.68 Joules power/energy-psys/                                                    
   159.220793868               5.02 Joules power/energy-pkg/                                                     
   159.220793868               1.29 Joules power/energy-cores/                                                   
   159.220793868               0.68 Joules power/energy-psys/                                                    
   160.222149501               4.95 Joules power/energy-pkg/                                                     
   160.222149501               1.22 Joules power/energy-cores/                                                   
   160.222149501               0.68 Joules power/energy-psys/                                                    
