wall_time,sim_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/cmd_vel_nav_sim_hz,panther/cmd_vel_nav_sim_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/amcl_pose_sim_hz,panther/amcl_pose_sim_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/plan_sim_hz,panther/plan_sim_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/local_costmap_sim_hz,panther/local_costmap_sim_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/velodyne_filtered_sim_hz,panther/velodyne_filtered_sim_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/cmd_vel_nav_sim_hz,panther2/cmd_vel_nav_sim_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/amcl_pose_sim_hz,panther2/amcl_pose_sim_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/plan_sim_hz,panther2/plan_sim_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/local_costmap_sim_hz,panther2/local_costmap_sim_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/velodyne_filtered_sim_hz,panther2/velodyne_filtered_sim_jitter_ms,panther2/path_length_m
1788343239.095,292.000,248.4,10.00,0.71,17.42,13.89,1.44,1.47,2.50,0.00,0.97,0.00,1.70,22.23,1.00,0.00,1.74,17.99,6.38,170.19,10.56,99.86,18.205,10.01,0.84,17.53,14.50,1.44,4.22,2.50,0.00,0.96,0.00,1.67,10.50,0.99,0.00,1.75,21.42,6.38,170.31,10.56,99.86,22.036
1788343240.968,293.000,250.3,10.00,1.55,17.78,17.13,1.30,3.68,2.50,0.00,0.97,0.00,1.74,15.08,1.00,1.70,1.79,39.51,5.87,185.83,10.56,99.86,17.440,10.00,4.28,18.00,14.81,1.63,179.05,2.78,80.00,0.96,0.00,1.72,19.69,1.01,5.04,1.79,39.51,5.87,185.17,10.56,99.86,21.494
1788343242.755,294.000,252.1,10.00,4.15,18.40,17.45,1.40,5.23,2.50,0.00,0.95,0.00,1.79,5.66,1.00,0.02,1.85,27.19,6.18,176.23,10.56,99.86,17.084,10.00,1.49,18.22,13.62,1.40,23.01,2.78,80.00,0.94,0.00,1.74,9.43,1.00,1.09,1.85,26.60,6.18,175.57,10.56,99.86,21.094
1788343244.494,295.000,253.8,10.00,0.99,17.71,15.47,1.45,6.08,2.50,0.00,0.97,0.00,1.71,22.86,1.00,0.00,1.74,3.77,6.30,172.91,10.56,99.86,16.334,9.99,0.96,17.75,13.60,1.43,12.46,2.50,0.00,0.95,0.00,1.67,16.33,1.00,1.08,1.74,6.80,6.30,172.74,10.56,99.86,20.330
1788343246.370,296.000,255.7,10.00,1.25,18.07,16.29,1.34,20.54,2.50,0.00,0.95,0.00,1.71,14.97,1.00,0.00,1.84,23.63,5.87,185.81,10.56,99.86,15.640,10.00,1.58,18.15,16.50,1.30,5.67,2.50,0.00,0.93,0.00,1.71,27.78,1.00,0.00,1.84,25.51,5.86,185.61,10.56,99.86,19.496
1788343248.168,297.000,257.5,10.00,2.01,18.29,16.19,1.39,7.09,2.50,0.00,0.96,0.00,1.75,5.66,1.00,0.00,1.85,21.75,6.13,177.24,10.56,99.86,15.277,10.01,0.91,18.33,16.36,1.39,13.73,2.50,0.00,0.95,0.00,1.73,19.96,0.98,0.00,1.85,19.87,6.13,176.77,10.56,99.86,19.134
1788343249.921,298.000,259.2,10.01,1.14,17.97,14.98,1.42,13.36,2.50,0.00,0.96,0.00,1.71,14.97,1.00,2.63,1.77,12.36,6.25,174.09,10.56,99.86,14.577,10.00,1.43,17.86,14.28,1.44,8.77,2.50,0.00,0.96,0.00,1.67,0.00,1.01,6.68,1.77,5.66,6.25,173.61,10.56,99.86,18.392
1788343251.810,299.000,261.1,10.00,7.36,18.37,14.52,1.30,10.13,2.50,0.00,0.97,0.00,1.76,35.33,0.83,0.00,1.71,13.20,5.83,186.89,10.56,99.86,13.758,10.01,5.79,18.37,14.24,1.31,21.80,2.50,0.00,0.97,0.00,1.75,28.53,0.83,0.00,1.71,17.28,5.83,186.91,10.56,99.86,17.738
1788343253.610,300.000,262.9,10.00,0.61,18.48,14.19,2.25,149.15,3.33,100.00,0.98,0.00,1.77,32.71,1.00,0.00,1.74,21.00,6.14,176.52,10.56,99.86,12.824,10.00,5.53,18.67,13.83,1.66,161.27,2.78,80.00,0.96,0.00,1.77,23.63,1.00,0.00,1.74,23.63,6.14,176.67,10.56,99.86,16.895
1788343255.360,301.000,264.7,10.00,0.64,17.75,13.87,1.42,12.89,3.33,100.00,0.98,0.00,1.69,7.54,1.00,3.62,1.77,8.22,6.24,174.12,10.56,99.86,12.327,10.00,0.83,17.71,14.08,1.44,4.17,2.78,80.00,0.96,0.00,1.72,3.27,1.00,4.62,1.77,8.64,6.24,173.60,10.56,99.86,16.526
