# started on Wed Sep  2 11:56:28 2026

#           time             counts   unit events
   138.190482553               2.15 Joules power/energy-cores/                                                   
   138.190482553               0.68 Joules power/energy-psys/                                                    
   139.191958393               5.83 Joules power/energy-pkg/                                                     
   139.191958393               1.98 Joules power/energy-cores/                                                   
   139.191958393               0.68 Joules power/energy-psys/                                                    
   140.193456543               5.73 Joules power/energy-pkg/                                                     
   140.193456543               1.97 Joules power/energy-cores/                                                   
   140.193456543               0.68 Joules power/energy-psys/                                                    
   141.194914326               5.91 Joules power/energy-pkg/                                                     
   141.194914326               2.06 Joules power/energy-cores/                                                   
   141.194914326               0.68 Joules power/energy-psys/                                                    
   142.196363205               5.86 Joules power/energy-pkg/                                                     
   142.196363205               2.06 Joules power/energy-cores/                                                   
   142.196363205               0.68 Joules power/energy-psys/                                                    
   143.197913474               6.02 Joules power/energy-pkg/                                                     
   143.197913474               2.12 Joules power/energy-cores/                                                   
   143.197913474               0.67 Joules power/energy-psys/                                                    
   144.199334290               5.80 Joules power/energy-pkg/                                                     
   144.199334290               2.03 Joules power/energy-cores/                                                   
   144.199334290               0.68 Joules power/energy-psys/                                                    
   145.200030815               5.78 Joules power/energy-pkg/                                                     
   145.200030815               1.96 Joules power/energy-cores/                                                   
   145.200030815               0.68 Joules power/energy-psys/                                                    
   146.201696821               5.52 Joules power/energy-pkg/                                                     
   146.201696821               1.82 Joules power/energy-cores/                                                   
   146.201696821               0.68 Joules power/energy-psys/                                                    
   147.203106493               5.72 Joules power/energy-pkg/                                                     
   147.203106493               1.89 Joules power/energy-cores/                                                   
   147.203106493               0.68 Joules power/energy-psys/                                                    
   148.204634773               5.70 Joules power/energy-pkg/                                                     
   148.204634773               1.94 Joules power/energy-cores/                                                   
   148.204634773               0.68 Joules power/energy-psys/                                                    
   149.205937785               5.91 Joules power/energy-pkg/                                                     
   149.205937785               2.05 Joules power/energy-cores/                                                   
   149.205937785               0.68 Joules power/energy-psys/                                                    
   150.207392335               5.83 Joules power/energy-pkg/                                                     
   150.207392335               1.97 Joules power/energy-cores/                                                   
   150.207392335               0.68 Joules power/energy-psys/                                                    
   151.208794649               5.82 Joules power/energy-pkg/                                                     
   151.208794649               1.79 Joules power/energy-cores/                                                   
   151.208794649               0.68 Joules power/energy-psys/                                                    
   152.210128343               5.78 Joules power/energy-pkg/                                                     
   152.210128343               1.93 Joules power/energy-cores/                                                   
   152.210128343               0.68 Joules power/energy-psys/                                                    
   153.211396001               5.85 Joules power/energy-pkg/                                                     
   153.211396001               2.02 Joules power/energy-cores/                                                   
   153.211396001               0.68 Joules power/energy-psys/                                                    
   154.213377054               5.52 Joules power/energy-pkg/                                                     
   154.213377054               1.80 Joules power/energy-cores/                                                   
   154.213377054               0.68 Joules power/energy-psys/                                                    
   155.214713681               5.80 Joules power/energy-pkg/                                                     
   155.214713681               1.94 Joules power/energy-cores/                                                   
   155.214713681               0.68 Joules power/energy-psys/                                                    
   156.216107903               5.60 Joules power/energy-pkg/                                                     
   156.216107903               1.84 Joules power/energy-cores/                                                   
   156.216107903               0.68 Joules power/energy-psys/                                                    
#           time             counts   unit events
   157.217418162               5.77 Joules power/energy-pkg/                                                     
   157.217418162               1.92 Joules power/energy-cores/                                                   
   157.217418162               0.68 Joules power/energy-psys/                                                    
   158.218823022               5.54 Joules power/energy-pkg/                                                     
   158.218823022               1.81 Joules power/energy-cores/                                                   
