wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m,panther3/cmd_vel_nav_hz,panther3/cmd_vel_nav_jitter_ms,panther3/amcl_pose_hz,panther3/amcl_pose_jitter_ms,panther3/plan_hz,panther3/plan_jitter_ms,panther3/local_costmap_hz,panther3/local_costmap_jitter_ms,panther3/velodyne_filtered_hz,panther3/velodyne_filtered_jitter_ms,panther3/path_length_m
1787757217.011,245.9,10.3,15.09,1.0,0.00,0.5,0.00,0.5,0.00,2.9,46.48,16.887,10.0,17.68,2.3,88.09,1.0,0.00,0.5,0.00,2.9,50.12,0.050,10.0,6.96,0.9,0.00,1.0,0.00,0.5,0.00,2.9,48.80,2.948
1787757219.779,248.7,10.0,4.59,1.4,152.16,1.0,0.00,0.5,0.00,3.4,30.39,16.084,10.0,21.10,1.7,1.38,1.0,0.00,0.5,0.00,3.4,35.14,0.050,10.0,4.47,1.1,16.74,1.0,0.00,0.6,0.00,3.4,33.48,2.027
1787757222.773,251.7,10.0,4.52,0.9,0.00,1.0,0.00,0.5,0.00,2.9,38.60,15.334,9.9,4.65,1.4,20.97,0.9,0.00,0.5,0.00,2.9,43.75,27.618,10.0,18.87,0.9,0.00,1.0,0.00,0.5,0.00,2.9,46.64,1.203
1787757225.587,254.5,10.0,5.28,1.1,0.00,1.0,0.00,0.6,0.00,3.3,65.45,14.534,10.0,24.56,1.1,0.00,0.9,0.00,0.5,0.00,3.3,53.10,27.436,10.0,13.17,1.1,0.00,1.0,0.00,0.5,0.00,3.3,51.51,0.654
1787757228.554,257.4,10.0,22.44,1.0,0.00,1.0,0.00,0.5,0.00,3.0,39.74,13.784,10.0,10.67,0.5,0.00,0.9,0.00,0.5,0.00,3.0,46.19,26.481,10.0,8.23,0.5,0.00,1.0,0.00,0.5,0.00,3.0,45.98,0.141
1787757231.366,260.3,10.0,23.18,1.0,0.00,1.0,0.00,0.5,0.00,3.5,42.25,13.334,9.9,15.64,0.9,0.00,1.0,0.00,0.5,0.00,3.5,41.88,25.703,10.0,14.99,2.1,187.67,1.0,0.00,0.5,0.00,3.5,40.95,0.000
1787757234.417,263.3,10.1,15.50,1.2,0.00,1.0,0.00,0.5,0.00,3.2,24.25,12.667,10.0,16.42,1.1,0.00,0.5,0.00,0.5,0.00,3.2,24.47,25.311,10.0,10.23,1.9,162.28,1.0,0.00,0.5,0.00,3.2,23.77,0.000
1787757237.313,266.2,10.0,9.34,1.1,24.94,1.0,0.00,0.5,0.00,3.4,54.44,12.021,10.0,13.88,1.1,20.91,0.9,0.00,0.5,0.00,3.4,49.28,24.728,10.0,12.36,1.3,184.25,1.0,0.00,0.6,0.00,3.4,49.69,0.050
1787757240.444,269.3,10.0,16.11,1.1,0.00,1.0,0.00,0.5,0.00,3.3,32.24,11.267,10.0,8.61,1.2,0.00,0.9,0.00,0.6,0.00,3.3,32.54,23.991,10.3,13.35,1.7,16.20,1.0,0.00,0.6,0.00,3.3,30.47,15.151
1787757243.376,272.3,10.0,5.94,1.2,0.00,1.0,0.00,0.6,0.00,3.4,32.92,10.508,10.0,14.58,1.1,71.22,1.0,0.00,0.5,0.00,3.4,32.97,23.300,10.0,5.96,1.1,70.49,0.9,0.00,0.6,0.00,3.4,33.51,14.407
