wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m
1787410610.921,175.5,10.0,6.72,1.8,13.95,1.0,0.00,1.0,0.00,5.3,10.86,16.837,10.0,4.54,1.4,7.69,0.9,0.00,1.0,0.00,5.4,7.08,25.344
1787410612.842,177.4,10.0,7.11,1.8,32.03,1.0,0.00,0.5,0.00,5.3,13.89,16.087,10.0,11.63,2.0,96.51,0.9,0.00,0.8,0.00,5.3,15.71,25.091
1787410614.822,179.4,10.0,9.35,1.7,5.99,1.0,0.00,1.0,0.00,5.1,19.98,15.487,10.0,12.10,1.7,4.01,0.9,0.00,0.5,0.00,5.1,21.57,24.510
1787410616.738,181.3,10.0,3.53,1.8,36.20,0.9,0.00,1.0,0.00,5.2,21.86,14.784,10.0,6.00,1.8,34.11,0.9,0.00,1.0,0.00,5.2,24.10,23.869
1787410618.627,183.2,10.0,5.15,1.8,18.73,1.0,0.00,1.0,0.00,5.4,17.43,14.384,10.0,4.53,1.8,19.03,0.9,0.00,1.0,0.00,5.3,16.05,23.102
1787410620.572,185.2,10.0,6.67,1.7,16.50,1.0,0.00,1.0,0.00,5.1,21.42,13.680,10.0,12.11,1.7,14.42,0.9,0.00,1.0,0.00,5.1,21.17,22.353
1787410622.395,187.0,10.0,7.64,1.8,11.85,1.0,0.00,1.0,0.00,5.5,8.67,12.871,10.0,7.04,1.9,0.91,1.0,0.00,1.0,0.00,5.5,20.65,21.972
1787410624.326,188.9,9.9,8.85,1.7,27.15,1.0,0.00,1.0,0.00,5.2,26.76,12.121,10.0,5.95,1.5,129.36,1.0,0.00,1.0,0.00,5.2,27.65,21.319
1787410626.455,191.0,10.0,6.57,1.5,3.74,1.0,0.00,0.5,0.00,4.7,33.52,11.521,10.0,8.65,1.2,0.00,0.9,0.00,0.8,0.00,4.7,35.25,20.710
1787410628.302,192.9,10.0,4.77,1.9,4.55,1.0,0.00,1.0,0.00,5.4,24.29,10.858,10.0,9.99,1.9,20.73,0.9,0.00,1.0,0.00,5.4,30.62,20.092
1787410630.266,194.8,10.0,7.40,1.7,24.12,1.0,0.00,1.0,0.00,5.1,17.20,10.152,10.0,8.01,1.7,4.68,0.9,0.00,1.0,0.00,5.1,20.51,19.243
1787410632.323,196.9,10.0,6.42,1.7,29.22,1.0,0.00,0.8,0.00,5.0,37.80,9.449,10.0,8.75,1.9,122.68,1.0,0.00,1.0,0.00,5.0,39.37,18.579
